ACCNUM,ObjectId,INVTYPE,INVAGE,INJURY,VEHTYPE,MANOEUVER,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOUR,TIME,VISIBILITY,LIGHT,collision_lat,collision_long
1321216,8890,Driver,20 to 24,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,1,1,0,1,0,3,325,Clear,"Dark, artificial",-79.3141,43.8079
1321983,8860,Driver,unknown,None,"Automobile, Station Wagon",Turning Left,1,0,1,0,0,0,0,0,0,1,0,0,0,19,1944,Rain,Dark,-79.4632,43.6827
1321983,8861,Pedestrian,50 to 54,Major,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,19,1944,Rain,Dark,-79.4632,43.6827
1322166,8813,Driver,60 to 64,None,"Automobile, Station Wagon",Turning Left,1,0,1,0,0,0,0,0,0,1,0,0,0,20,2040,Clear,"Dark, artificial",-79.4131,43.7769
1322166,8814,Pedestrian,55 to 59,Major,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,20,2040,Clear,"Dark, artificial",-79.4131,43.7769
1322569,8156,Motorcycle Driver,45 to 49,Major,Motorcycle,Going Ahead,0,0,0,1,0,0,0,0,0,0,0,0,0,8,750,Clear,Daylight,-79.3281,43.6675
1324692,8204,Driver,45 to 49,None,"Automobile, Station Wagon",Turning Right,0,1,1,0,0,0,0,0,0,0,0,0,0,18,1820,Clear,"Dark, artificial",-79.3764,43.6548
1324692,8205,Cyclist,60 to 64,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,18,1820,Clear,"Dark, artificial",-79.3764,43.6548
1324973,8211,Truck Driver,30 to 34,None,Truck - Open,Slowing or Stopping,0,1,0,0,1,0,0,0,0,1,0,0,0,17,1748,Clear,Daylight,-79.3978,43.6778
1324973,8212,Cyclist,50 to 54,Major,Bicycle,Overtaking,0,1,0,0,1,0,0,0,0,1,0,0,0,17,1748,Clear,Daylight,-79.3978,43.6778
1324973,8213,Other,unknown,None,Other,NULL,0,1,0,0,1,0,0,0,0,1,0,0,0,17,1748,Clear,Daylight,-79.3978,43.6778
1326460,8143,Motorcycle Driver,30 to 34,Major,Motorcycle,Going Ahead,0,0,0,1,0,0,0,0,0,0,0,0,0,9,850,Other,Other,-79.3617,43.6714
1327549,8843,Driver,20 to 24,Major,"Automobile, Station Wagon",Turning Left,1,0,1,0,0,0,0,0,0,1,0,0,0,23,2316,Rain,"Dark, artificial",-79.307,43.8236
1327549,8845,Pedestrian,40 to 44,Minor,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,23,2316,Rain,"Dark, artificial",-79.307,43.8236
1328014,8853,Driver,70 to 74,Major,"Automobile, Station Wagon",Turning Left,1,0,1,0,0,0,0,0,0,1,0,0,0,10,1039,Clear,Daylight,-79.4059,43.6721
1328014,8854,Pedestrian,70 to 74,Major,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,10,1039,Clear,Daylight,-79.4059,43.6721
1328482,8896,Driver,20 to 24,None,"Automobile, Station Wagon",Turning Right,1,0,1,0,0,0,0,0,0,1,0,0,0,13,1343,Clear,Daylight,-79.3679,43.6642
1328482,8897,Pedestrian,60 to 64,Major,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,13,1343,Clear,Daylight,-79.3679,43.6642
1331576,9324,Driver,55 to 59,None,"Automobile, Station Wagon",Turning Left,1,0,1,0,0,0,0,0,0,0,0,0,0,20,2030,Clear,Dark,-79.4061,43.801
1331576,9426,Pedestrian,25 to 29,Major,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,20,2030,Clear,Dark,-79.4061,43.801
1331761,9434,Truck Driver,35 to 39,None,Truck - Open,Turning Left,1,0,0,0,1,0,0,0,0,0,0,0,0,7,700,Clear,Dark,-79.368,43.6644
1331761,9435,Pedestrian,55 to 59,Minor,Other,NULL,1,0,0,0,1,0,0,0,0,0,0,0,0,7,700,Clear,Dark,-79.368,43.6644
1331761,9436,Pedestrian,45 to 49,Major,Other,NULL,1,0,0,0,1,0,0,0,0,0,0,0,0,7,700,Clear,Dark,-79.368,43.6644
1332261,9456,Passenger,30 to 34,None,Other,NULL,1,0,1,0,0,0,0,1,0,0,0,0,0,20,2015,Rain,"Dark, artificial",-79.2685,43.7338
1281493,7884,Pedestrian,65 to 69,Major,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,11,1128,Clear,Daylight,-79.3647,43.7135
1282186,7896,Driver,25 to 29,Major,"Automobile, Station Wagon",Changing Lanes,0,1,1,0,0,0,0,0,0,0,0,0,0,14,1404,Rain,Daylight,-79.4473,43.677
1282186,7897,Cyclist,unknown,Minimal,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,14,1404,Rain,Daylight,-79.4473,43.677
1282447,7723,Driver,25 to 29,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,18,1849,Rain,Dark,-79.437,43.64
1282447,7724,Pedestrian,45 to 49,Major,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,18,1849,Rain,Dark,-79.437,43.64
1282854,7740,Driver,70 to 74,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,23,2322,Clear,"Dark, artificial",-79.2497,43.7087
1282854,7741,Pedestrian,45 to 49,Major,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,23,2322,Clear,"Dark, artificial",-79.2497,43.7087
1283522,7236,Pedestrian,35 to 39,Major,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,20,2000,Clear,Dark,-79.2511,43.736
1283522,7235,Driver,35 to 39,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,20,2000,Clear,Dark,-79.2511,43.736
1285462,8691,Driver,30 to 34,None,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,1,0,0,0,10,1020,Clear,Daylight,-79.3601,43.6701
1285462,8692,Driver,40 to 44,Major,"Automobile, Station Wagon",Stopped,0,0,1,0,0,0,0,0,0,1,0,0,0,10,1020,Clear,Daylight,-79.3601,43.6701
1285480,7261,Passenger,80 to 84,Minor,Other,NULL,0,0,1,0,0,0,0,1,0,1,1,0,0,12,1210,Clear,Daylight,-79.5707,43.6915
1285480,7262,Passenger,75 to 79,Minor,Other,NULL,0,0,1,0,0,0,0,1,0,1,1,0,0,12,1210,Clear,Daylight,-79.5707,43.6915
1285480,7263,Passenger,70 to 74,Minor,Other,NULL,0,0,1,0,0,0,0,1,0,1,1,0,0,12,1210,Clear,Daylight,-79.5707,43.6915
1285480,7264,Driver,75 to 79,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,1,0,0,12,1210,Clear,Daylight,-79.5707,43.6915
1285480,7265,Driver,50 to 54,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,1,0,0,12,1210,Clear,Daylight,-79.5707,43.6915
1286941,8744,Driver,40 to 44,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,6,555,Clear,"Dawn, artificial",-79.5123,43.7582
