ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,geometry
1830669,2020,00:00.0,1754,17,ST CLAIR AVE E,PHARMACY AV,NULL,1,Scarborough,20,41,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,D41,120,Clairlea-Birchmount (120),"{'type': 'Point', 'coordinates': (-79.290905, 43.709846)}"
1832925,2020,00:00.0,33,0,DVP N,SPANBRIDGE ROAD,5 m South of,2,North York,16,54,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,D54,44,Flemingdon Park (44),"{'type': 'Point', 'coordinates': (-79.325443, 43.712619)}"
1844601,2020,00:00.0,1625,16,2301 BRIMLEY RD (DRIVEWAY),BRIMLEY RD,12 m West of,1,Scarborough,23,42,NULL,At/Near Private Drive,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D42,129,Agincourt North (129),"{'type': 'Point', 'coordinates': (-79.272976, 43.797527)}"
1884326,2020,00:00.0,1152,11,ADELAIDE ST E,POWER ST,5 m South of,1,Toronto and East York,13,51,Intersection,At Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,D51,73,Moss Park (73),"{'type': 'Point', 'coordinates': (-79.362713, 43.654075)}"
1886672,2020,00:00.0,1906,19,DUFFERIN ST,FINCH AV W,NULL,1,North York,6,32,Intersection,Intersection Related,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D32,34,Bathurst Manor (34),"{'type': 'Point', 'coordinates': (-79.4669, 43.768851)}"
1887920,2020,00:00.0,1,0,QUEENS PARK CRESCENT E,73 QUEENS PARK CRESCENT E,5 m North of,NULL,NULL,NULL,NULL,Mid-Block,Non Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D14,82,Niagara (82),"{'type': 'Point', 'coordinates': (-79.419124, 43.637286)}"
1888884,2020,00:00.0,712,7,JANA ST,GRANDRAVINE DR,NULL,1,Etobicoke York,7,31,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D31,25,Glenfield-Jane Heights (25),"{'type': 'Point', 'coordinates': (-79.51509500000002, 43.747085)}"
1892662,2020,00:00.0,1640,16,BATHURST ST,SHEPPARD AVE W,80 m North of,1,North York,NULL,NULL,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,34,Bathurst Manor (34),"{'type': 'Point', 'coordinates': (-79.438609, 43.756091)}"
1894720,2020,00:00.0,2312,23,University Avenue,College St. West,4 m North of,1,Toronto and East York,11,52,Intersection,Intersection Related,Traffic Signal,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D52,76,Bay Street Corridor (76),"{'type': 'Point', 'coordinates': (-79.390461, 43.659854)}"
1902177,2020,00:00.0,300,3,LANSDOWNE AVE,COLLEGE ST,10 m North of,3,Toronto and East York,9,11,Intersection,Intersection Related,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,D11,83,Dufferin Grove (83),"{'type': 'Point', 'coordinates': (-79.439976, 43.651004)}"
