ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,collision_lat,collision_long,red_light_lat,red_light_long,right_light_camera,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ACTIVATION_DATE
999758,2007,00:00.0,1020,10,STEELES Aven W,PETROLIA Road,NULL,1,North York,6,31,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D31,27,York University Heights (27),-79.49,43.7825,NULL,NULL,N,NULL,NULL,NULL
5000805635,2015,00:00.0,1730,17,GERRARD ST E,GREENWOOD AVE,4 m East of,3,Toronto and East York,14,55,Intersection,Non Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D55,65,Greenwood-Coxwell (65),-79.328,43.6709,NULL,NULL,N,NULL,NULL,NULL
5000811243,2015,00:00.0,1535,15,MORTIMER AVE,GLEBEMOUNT AVE,NULL,3,Toronto and East York,19,54,Intersection,At Intersection,Stop Sign,Clear,Daylight,Wet,Non-Fatal Injury,Angle,D54,59,Danforth East York (59),-79.3206,43.6914,NULL,NULL,N,NULL,NULL,NULL
5000325366,2015,00:00.0,1602,16,SANDHURST CRCL,EXCHEQUER PL,NULL,2,Scarborough,23,42,Intersection,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,D42,129,Agincourt North (129),-79.2625,43.8078,NULL,NULL,N,NULL,NULL,NULL
988601,2007,00:00.0,217,2,WARDEN AVE,WARDEN AV S 401 C E RAMP E,NULL,1,Scarborough,21,41,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,D41,119,Wexford/Maryvale (119),-79.3035,43.7689,NULL,NULL,N,NULL,NULL,NULL
4003056806,2014,00:00.0,9,0,UNIVERSITY AVE,QUEEN ST W,NULL,1,Toronto and East York,10,52,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D52,76,Bay Street Corridor (76),-79.3865,43.6507,NULL,NULL,N,NULL,NULL,NULL
991193,2007,00:00.0,1939,19,26 GLEN EVEREST RD,NULL,NULL,4,Scarborough,20,41,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,D41,122,Birchcliffe-Cliffside (122),-79.2532,43.7003,NULL,NULL,N,NULL,NULL,NULL
987223,2007,00:00.0,830,8,COMBE AVE,ELDER ST,NULL,4,North York,6,32,Intersection,NULL,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D32,34,Bathurst Manor (34),-79.4532,43.7601,NULL,NULL,N,NULL,NULL,NULL
5000286208,2015,00:00.0,104,1,SHERBOURNE ST,DUNDAS ST E,50 m South of,3,Toronto and East York,13,51,Mid-Block,Intersection Related,No Control,Clear,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,D51,73,Moss Park (73),-79.3707,43.6577,NULL,NULL,N,NULL,NULL,NULL
5000296206,2015,00:00.0,1610,16,BATHURST ST,RICHMOND ST W,NULL,1,Toronto and East York,10,14,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D14,77,Waterfront Communities-The Island (77),-79.4037,43.6464,NULL,NULL,N,NULL,NULL,NULL
6001177381,2016,00:00.0,2005,20,EGLINTON AVE E,MARKHAM RD,13 m West of,1,Scarborough,NULL,43,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D43,139,Scarborough Village (139),-79.2188,43.7431,NULL,NULL,N,NULL,NULL,NULL
6001183781,2016,00:00.0,1831,18,401 C W MCCOWAN N RAMP RD,MCCOWAN RD,NULL,1,Scarborough,23,42,Mid-Block,At Intersection,No Control,Clear,Daylight,Dry,Fatal,SMV Other,D42,128,Agincourt South-Malvern West (128),-79.2557,43.7835,NULL,NULL,N,NULL,NULL,NULL
5000406927,2015,00:00.0,645,6,452 MORTIMER AVE,NULL,NULL,3,Toronto and East York,14,54,Intersection,NULL,No Control,Clear,"Dawn, artificial",Wet,Fatal,Pedestrian Collisions,D54,59,Danforth East York (59),-79.3327,43.6892,NULL,NULL,N,NULL,NULL,NULL
6000951747,2016,00:00.0,1940,19,DUNDAS ST W,BROCK AVE,NULL,3,Toronto and East York,9,11,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D11,84,Little Portugal (84),-79.4355,43.6498,NULL,NULL,N,NULL,NULL,NULL
6000971668,2016,00:00.0,1822,18,LAKE SHORE BLVD W,DWIGHT AVE,NULL,1,Etobicoke York,3,22,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D22,18,New Toronto (18),-79.4979,43.6022,NULL,NULL,N,NULL,NULL,NULL
6001043780,2016,00:00.0,1644,16,FINCH AVE E,GARVIN  MEWS,143 m West of,1,North York,18,32,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,51,Willowdale East (51),-79.401,43.7829,NULL,NULL,N,NULL,NULL,NULL
4003092212,2014,00:00.0,1640,16,MARTIN GROVE RD,RATHBURN  RD,NULL,3,Etobicoke York,2,22,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D22,14,Islington-City Centre West (14),-79.5552,43.657,NULL,NULL,N,NULL,NULL,NULL
6001365949,2016,00:00.0,1858,18,DUFFERIN ST,WATERLOO AVE,NULL,4,North York,6,32,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D32,34,Bathurst Manor (34),-79.4637,43.7544,NULL,NULL,N,NULL,NULL,NULL
6001139376,2016,00:00.0,1908,19,99 HUMBER BLVD,NULL,NULL,2,Etobicoke York,5,12,Mid-Block,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D12,111,Rockcliffe-Smythe (111),-79.4822,43.6798,NULL,NULL,N,NULL,NULL,NULL
6001139914,2016,00:00.0,2050,20,ALBION RD,SILVERSTONE DR,75 m East of,1,Etobicoke York,1,23,Mid-Block,Non Intersection,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,SMV Other,D23,1,West Humber-Clairville (1),-79.599,43.7427,NULL,NULL,N,NULL,NULL,NULL
1009018,2007,00:00.0,58,0,DON VALLEY PARKWAY  S,LAWRENCE AVE E,NULL,NULL,North York,16,33,Mid-Block,NULL,No Control,Snow,Dark,Loose Snow,Non-Fatal Injury,SMV Other,D33,45,Parkwoods-Donalda (45),-79.3325,43.7436,NULL,NULL,N,NULL,NULL,NULL
5001919444,2015,00:00.0,1100,11,LAWRENCE AVE E,GREENHOLM CRCT,NULL,1,Scarborough,24,43,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D43,137,Woburn (137),-79.2229,43.7603,-79.2229,43.7603,Y,Lawrence Ave E,Greencrest Crct,2021-07-29
6001284947,2016,00:00.0,630,6,LAWRENCE AVE W,WESTON RD,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Turning Movement,D12,113,Weston (113),-79.5161,43.7,NULL,NULL,N,NULL,NULL,NULL
6000852828,2016,00:00.0,600,6,TWENTY FOURTH STREET,LAKESHORE BOULEVARD,46 m North of,4,Etobicoke York,3,22,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D22,18,New Toronto (18),-79.5226,43.5973,NULL,NULL,N,NULL,NULL,NULL
6000853484,2016,00:00.0,845,8,580 CHRISTIE ST,NULL,2 m East of,3,Toronto and East York,12,13,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D13,94,Wychwood (94),-79.4246,43.6791,NULL,NULL,N,NULL,NULL,NULL
6000894195,2016,00:00.0,1350,13,HIGHWAY 27  N,HUMBER COLLEGE BLVD,NULL,1,Etobicoke York,1,23,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Rear End,D23,1,West Humber-Clairville (1),-79.6,43.7273,NULL,NULL,N,NULL,NULL,NULL
6001406724,2016,00:00.0,329,3,DANFORTH RD,THICKETWOOD DR      (431),NULL,1,Scarborough,21,43,Intersection,Intersection Related,Stop Sign,Clear,"Daylight, artificial",Wet,Non-Fatal Injury,Angle,D43,138,Eglinton East (138),-79.2446,43.7447,NULL,NULL,N,NULL,NULL,NULL
6000934627,2016,00:00.0,1250,12,BAY ST,HAGERMAN ST,NULL,1,Toronto and East York,NULL,52,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D52,76,Bay Street Corridor (76),-79.3831,43.6542,NULL,NULL,N,NULL,NULL,NULL
6000754675,2016,00:00.0,555,5,MARKHAM RD,EGLINTON AVE E,1 m North of,1,Scarborough,NULL,43,Intersection,Intersection Related,No Control,Clear,Dawn,Dry,Non-Fatal Injury,Pedestrian Collisions,D43,139,Scarborough Village (139),-79.2188,43.7431,NULL,NULL,N,NULL,NULL,NULL
5001980850,2015,00:00.0,1710,17,MARKHAM RD,EGLINTON AVE E,55 m North of,1,Scarborough,24,43,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,D43,139,Scarborough Village (139),-79.2191,43.7437,NULL,NULL,N,NULL,NULL,NULL
6000943293,2016,00:00.0,1600,16,EGLINTON AVE E,BAYVIEW AVE,NULL,1,North York,15,53,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D53,56,Leaside-Bennington (56),-79.3771,43.7109,NULL,NULL,N,NULL,NULL,NULL
5002168343,2015,00:00.0,1452,14,4727 SHEPPARD AVE E,NULL,4 m East of,1,Scarborough,23,42,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D42,128,Agincourt South-Malvern West (128),-79.2503,43.7914,NULL,NULL,N,NULL,NULL,NULL
5001983106,2015,00:00.0,502,5,KIPLING AVE,NORSEMAN ST,NULL,1,Etobicoke York,3,22,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D22,14,Islington-City Centre West (14),-79.531,43.6314,NULL,NULL,N,NULL,NULL,NULL
5002035175,2015,00:00.0,830,8,RONCESVALLES AVE,GRENADIER RD,5 m North of,3,Toronto and East York,4,11,Intersection,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D11,86,Roncesvalles (86),-79.45,43.6489,NULL,NULL,N,NULL,NULL,NULL
5001964890,2015,00:00.0,615,6,BATHURST ST,FLEET ST,NULL,1,Toronto and East York,10,14,Intersection,At Intersection,Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Turning Movement,D14,77,Waterfront Communities-The Island (77),-79.3996,43.6364,NULL,NULL,N,NULL,NULL,NULL
5002235651,2015,00:00.0,2339,23,DANFORTH AVE,GILLARD AVE,NULL,1,Toronto and East York,14,NULL,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,D55,65,Greenwood-Coxwell (65),-79.3282,43.6823,NULL,NULL,N,NULL,NULL,NULL
1238461,2011,00:00.0,2203,22,HOPTREE Ave,STAINES Rd,NULL,4,Scarborough,25,42,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Other,D42,131,Rouge (131),-79.2202,43.8221,NULL,NULL,N,NULL,NULL,NULL
996573,2007,00:00.0,1857,18,DUPONT ST,DOVERCOURT RD,NULL,1,Toronto and East York,9,14,Intersection,At Intersection,Traffic Signal,Clear,Dusk,Dry,Non-Fatal Injury,Turning Movement,D14,93,Dovercourt-Wallace Emerson-Junction (93),-79.4327,43.6696,NULL,NULL,N,NULL,NULL,NULL
5002098323,2015,00:00.0,1905,19,STEELES AVE W,JANE ST,1 m East of,1,Etobicoke York,7,31,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Sideswipe,D31,27,York University Heights (27),-79.5217,43.7754,-79.5217,43.7754,Y,Steeles Ave W,Jane St,2021-03-05
991226,2007,00:00.0,1500,15,DON MILLS RD,ROCHEFORT DR E,NULL,1,North York,16,54,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D54,44,Flemingdon Park (44),-79.3387,43.72,NULL,NULL,N,NULL,NULL,NULL
6000042274,2016,00:00.0,520,5,BROWN S LINE,LAKE SHORE BLVD W,30 m North of,1,Etobicoke York,3,22,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Wet,Fatal,SMV Other,D22,19,Long Branch (19),-79.5415,43.593,NULL,NULL,N,NULL,NULL,NULL
6000044562,2016,00:00.0,1330,13,BAYVIEW AVE,PARKHURST BLVD,6 m North of,1,North York,15,53,Intersection,Intersection Related,Pedestrian Crossover,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,D53,56,Leaside-Bennington (56),-79.3763,43.7087,NULL,NULL,N,NULL,NULL,NULL
5001821227,2015,00:00.0,2130,21,BATHURST ST,NIAGARA ST,25 m South of,1,Toronto and East York,10,14,Intersection,At/Near Private Drive,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,D14,77,Waterfront Communities-The Island (77),-79.402,43.6421,NULL,NULL,N,NULL,NULL,NULL
6000094182,2016,00:00.0,1536,15,OSSINGTON AVE,DAVENPORT RD,41 m South of,3,Toronto and East York,NULL,13,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D13,94,Wychwood (94),-79.4308,43.6743,NULL,NULL,N,NULL,NULL,NULL
981582,2007,00:00.0,1139,11,BAYVIEW AVE,SCENIC MILLWAY,NULL,1,North York,15,NULL,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D33,40,St.Andrew-Windfields (40),-79.3846,43.7507,NULL,NULL,N,NULL,NULL,NULL
992609,2007,00:00.0,1757,17,DUNDAS ST W,CARLYLE ST,NULL,1,Toronto and East York,NULL,14,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D14,78,Kensington-Chinatown (78),-79.4047,43.6521,NULL,NULL,N,NULL,NULL,NULL
993818,2007,00:00.0,1932,19,HIGHWAY 27  N,HUMBER COLLEGE BLVD,NULL,1,Etobicoke York,1,23,Mid-Block,NULL,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,D23,1,West Humber-Clairville (1),-79.6018,43.7315,NULL,NULL,N,NULL,NULL,NULL
972843,2007,00:00.0,2,0,BLOOR ST E,DRUMSNAB RD,NULL,1,Toronto and East York,11,NULL,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,D51,71,Cabbagetown-South St.James Town (71),-79.3674,43.6742,NULL,NULL,N,NULL,NULL,NULL
995772,2007,00:00.0,1130,11,LOGAN AVE,EASTERN AVE,NULL,1,Toronto and East York,14,55,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D55,70,South Riverdale (70),-79.3413,43.6578,NULL,NULL,N,NULL,NULL,NULL
986987,2007,00:00.0,2143,21,QUEEN ST E,CRAVEN RD,NULL,3,Toronto and East York,14,55,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,D55,65,Greenwood-Coxwell (65),-79.3179,43.666,NULL,NULL,N,NULL,NULL,NULL
6000566615,2016,00:00.0,1930,19,FINCH AVE E,CHEROKEE BLVD,150 m East of,1,North York,17,33,Mid-Block,Non Intersection,No Control,Snow,Dark,Ice,Non-Fatal Injury,Approaching,D33,46,Pleasant View (46),-79.3354,43.7928,NULL,NULL,N,NULL,NULL,NULL
973856,2007,00:00.0,1029,10,3875 SHEPPARD AVE E,NULL,NULL,1,Scarborough,22,42,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,D42,118,Tam O'Shanter-Sullivan (118),-79.2898,43.7828,NULL,NULL,N,NULL,NULL,NULL
977762,2007,00:00.0,1921,19,DANFORTH AVE,MONARCH PARK AVE,NULL,1,Toronto and East York,14,NULL,Intersection,NULL,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,D55,65,Greenwood-Coxwell (65),-79.3271,43.6825,NULL,NULL,N,NULL,NULL,NULL
987443,2007,00:00.0,1409,14,EGLINTON AVE W,MARTIN GROVE RD,NULL,1,Etobicoke York,NULL,NULL,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D22,10,Princess-Rosethorn (10),-79.5631,43.6744,-79.5631,43.6744,Y,Eglinton Ave W,Martin Grove Rd,2017-07-10
6000019763,2016,00:00.0,1520,15,FENSIDE DR,VERSEND DR,NULL,2,North York,16,33,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D33,45,Parkwoods-Donalda (45),-79.3287,43.7627,NULL,NULL,N,NULL,NULL,NULL
984340,2007,00:00.0,1301,13,JANE ST,SAN MARINOWAY,NULL,1,Etobicoke York,7,31,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,D31,25,Glenfield-Jane Heights (25),-79.5143,43.7441,NULL,NULL,N,NULL,NULL,NULL
1044246,2008,00:00.0,1500,15,PROGRESS AVE,401 C E PROGRESS AV RAMP E,NULL,3,Scarborough,21,43,Mid-Block,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,D43,127,Bendale (127),-79.2609,43.7777,NULL,NULL,N,NULL,NULL,NULL
1048237,2008,00:00.0,1805,18,WESTON Road,WALSH Aven,NULL,1,Etobicoke York,7,31,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D31,23,Pelmo Park-Humberlea (23),-79.5372,43.717,NULL,NULL,N,NULL,NULL,NULL
979564,2007,00:00.0,2155,21,BATHURST ST,BROWNS LANE W,NULL,1,Toronto and East York,10,14,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,D14,77,Waterfront Communities-The Island (77),-79.4029,43.6447,NULL,NULL,N,NULL,NULL,NULL
1044477,2008,00:00.0,1150,11,DANFORTH AVE,LINNSMORE CRES,NULL,1,Toronto and East York,14,NULL,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D55,66,Danforth (66),-79.3297,43.682,NULL,NULL,N,NULL,NULL,NULL
1053740,2008,00:00.0,2210,22,ANCONA ST,FINCH AVE W,NULL,1,North York,18,32,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,D32,37,Willowdale West (37),-79.4387,43.7745,NULL,NULL,N,NULL,NULL,NULL
1033955,2008,00:00.0,1422,14,EGLINTON AVE W,PEVERIL HILL  N,NULL,1,North York,NULL,13,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D13,102,Forest Hill North (102),-79.4263,43.7008,NULL,NULL,N,NULL,NULL,NULL
1035405,2008,00:00.0,1722,17,REXDALE Boul,QUEENS PLATE Driv,NULL,1,Etobicoke York,1,23,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D23,1,West Humber-Clairville (1),-79.6034,43.7191,NULL,NULL,N,NULL,NULL,NULL
1061541,2008,00:00.0,412,4,DON VALLEY PARKWAY  S,BEECHWOOD DR,NULL,NULL,Toronto and East York,14,54,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,D54,57,Broadview North (57),-79.3529,43.6968,NULL,NULL,N,NULL,NULL,NULL
1015580,2008,00:00.0,1957,19,DON VALLEY PARKWAY  N,PRINCE EDWARD VIADUCT Stre E,NULL,NULL,Toronto and East York,14,54,Mid-Block,NULL,No Control,Clear,Dark,Wet,Non-Fatal Injury,Sideswipe,D54,57,Broadview North (57),-79.3623,43.6818,NULL,NULL,N,NULL,NULL,NULL
1025897,2008,00:00.0,905,9,ONTARIO ST,RICHMOND ST E,NULL,4,Toronto and East York,13,51,Mid-Block,At Intersection,No Control,Clear,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,D51,73,Moss Park (73),-79.3668,43.6542,NULL,NULL,N,NULL,NULL,NULL
1047968,2008,00:00.0,2155,21,STEELES AVE W,HIDDEN TRL,NULL,1,North York,6,32,Mid-Block,NULL,No Control,Clear,Dark,Dry,Fatal,Approaching,D32,35,Westminster-Branson (35),-79.4639,43.7884,NULL,NULL,N,NULL,NULL,NULL
1045692,2008,00:00.0,1733,17,YORK MILLS RD,FENN AVE,NULL,1,North York,15,32,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,40,St.Andrew-Windfields (40),-79.3889,43.747,NULL,NULL,N,NULL,NULL,NULL
1009854,2007,00:00.0,258,2,267 DAVENPORT Rd,NULL,NULL,1,Toronto and East York,11,53,Mid-Block,NULL,No Control,Snow,Dark,Packed Snow,Non-Fatal Injury,Pedestrian Collisions,D53,95,Annex (95),-79.3981,43.6743,NULL,NULL,N,NULL,NULL,NULL
1065860,2008,00:00.0,641,6,BLOOR ST W,WINDERMERE AVE,NULL,1,Toronto and East York,4,11,Intersection,At Intersection,Traffic Signal,Clear,Dawn,Dry,Non-Fatal Injury,Pedestrian Collisions,D11,89,Runnymede-Bloor West Village (89),-79.4804,43.6502,NULL,NULL,N,NULL,NULL,NULL
1046409,2008,00:00.0,1838,18,F G GARDINER XY  W,LAKE SHORE BLVD E,NULL,1,Toronto and East York,14,55,Entrance Ramp Westbound,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,D55,70,South Riverdale (70),-79.3414,43.6533,NULL,NULL,N,NULL,NULL,NULL
1065056,2008,00:00.0,915,9,STEELES AVE E,WILLOWDALE AVE,NULL,1,North York,18,32,Intersection,NULL,Traffic Signal,Clear,Daylight,Other,Non-Fatal Injury,Pedestrian Collisions,D32,50,Newtonbrook East (50),-79.4144,43.7992,NULL,NULL,N,NULL,NULL,NULL
973640,2007,00:00.0,1645,16,CHESTNUT ST,EDWARD ST,NULL,2,Toronto and East York,11,52,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D52,76,Bay Street Corridor (76),-79.3863,43.6559,NULL,NULL,N,NULL,NULL,NULL
1026032,2008,00:00.0,1245,12,DIXON RD,MARTIN GROVE RD,NULL,1,Etobicoke York,NULL,23,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D23,1,West Humber-Clairville (1),-79.5707,43.6915,NULL,NULL,N,NULL,NULL,NULL
1042100,2008,00:00.0,2120,21,ALBION RD,MARTIN GROVE RD,NULL,1,Etobicoke York,1,23,Mid-Block,NULL,NULL,Other,Dusk,Other,Non-Fatal Injury,Other,D23,1,West Humber-Clairville (1),-79.5947,43.742,NULL,NULL,N,NULL,NULL,NULL
1061106,2008,00:00.0,2027,20,JARVIS ST,CARLTON ST,NULL,1,Toronto and East York,13,51,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,D51,71,Cabbagetown-South St.James Town (71),-79.3775,43.6646,NULL,NULL,N,NULL,NULL,NULL
1058854,2008,00:00.0,1825,18,ALBION RD,BEATTIE AVE,NULL,1,Etobicoke York,1,23,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,D23,5,Elms-Old Rexdale (5),-79.5507,43.7253,NULL,NULL,N,NULL,NULL,NULL
1026199,2008,00:00.0,2040,20,HUMBER COLLEGE BLVD,HIGHWAY 27  S,NULL,1,Etobicoke York,1,23,Intersection,NULL,Traffic Signal,Snow,Dark,Wet,Non-Fatal Injury,Rear End,D23,1,West Humber-Clairville (1),-79.6015,43.7304,NULL,NULL,N,NULL,NULL,NULL
1054475,2008,00:00.0,542,5,RONCESVALLES AVE,HIGH PARK BLVD,NULL,3,Toronto and East York,4,11,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D11,86,Roncesvalles (86),-79.449,43.6463,NULL,NULL,N,NULL,NULL,NULL
1347684,2013,00:00.0,208,2,QUEEN ST E,WAVERLEY RD,NULL,3,Toronto and East York,19,55,Intersection,NULL,No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D55,63,The Beaches (63),-79.3008,43.6698,NULL,NULL,N,NULL,NULL,NULL
1341806,2013,00:00.0,858,8,JANE St,DALRYMPLE Dr,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D12,111,Rockcliffe-Smythe (111),-79.496,43.6772,NULL,NULL,N,NULL,NULL,NULL
1369816,2013,00:00.0,640,6,SPADINA RD,DUPONT ST,NULL,1,Toronto and East York,11,NULL,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Approaching,D53,95,Annex (95),-79.407,43.6748,NULL,NULL,N,NULL,NULL,NULL
1370737,2013,00:00.0,17,0,DUPONT ST,LANSDOWNE AVE,NULL,1,Toronto and East York,9,11,Intersection,NULL,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,D11,93,Dovercourt-Wallace Emerson-Junction (93),-79.4464,43.6667,-79.4464,43.6667,Y,Lansdowne Ave,Dupont St,2008-03-26
1367518,2013,00:00.0,1519,15,KIPLING AVE,JUTLAND RD,NULL,1,Etobicoke York,3,22,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Turning Movement,D22,14,Islington-City Centre West (14),-79.5287,43.6262,NULL,NULL,N,NULL,NULL,NULL
1351876,2013,00:00.0,1450,14,AVENUE RD,FAIRLAWN AVE,NULL,1,North York,8,32,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D32,39,Bedford Park-Nortown (39),-79.4178,43.7278,NULL,NULL,N,NULL,NULL,NULL
1354707,2013,00:00.0,1450,14,YONGE ST,GERRARD ST E,NULL,1,Toronto and East York,NULL,NULL,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D52,75,Church-Yonge Corridor (75),-79.3823,43.6596,NULL,NULL,N,NULL,NULL,NULL
1361719,2013,00:00.0,948,9,WOODBINE AVE,MORTIMER AVE,NULL,1,Toronto and East York,19,54,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D54,60,Woodbine-Lumsden (60),-79.3157,43.6926,NULL,NULL,N,NULL,NULL,NULL
1372923,2013,00:00.0,1300,13,BROWNS Line,WHALEY Dr,NULL,1,Etobicoke York,3,22,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,D22,20,Alderwood (20),-79.5473,43.6065,NULL,NULL,N,NULL,NULL,NULL
